alpha,avg_lc,avg_sl,avg_sl2h
0.5,1.18,1.30,1.30
0.6,1.23,1.48,1.40
0.7,1.32,1.84,1.89
0.8,1.40,2.35,2.24
0.9,1.47,3.61,3.38
1.0,1.52,5.82,5.72
