25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
25,5,5
25,3,4
25,4,4
25,5,2
25,7,5
25,4,4
25,8,5
25,3,4
25,6,5
25,3,4
25,8,5
25,6,5
25,1,5
25,7,5
25,8,3
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
50,8,5
50,9,6
50,4,6
50,6,6
50,10,5
50,9,6
50,4,6
50,4,5
50,9,5
50,8,6
50,9,6
50,9,5
50,6,6
50,7,6
50,4,5
